sensitivity_type,sensitivity_label,scope,individual,common_parameter_min,common_parameter_max,pearson_gdis_profile,spearman_gdis_profile,mean_abs_gdis_difference,primary_gdis_peak_parameter,sensitivity_gdis_peak_parameter,gdis_peak_shift,absolute_gdis_peak_shift,primary_abs_peak_landmark_error,sensitivity_abs_peak_landmark_error,primary_transition_energy_peak_parameter,sensitivity_transition_energy_peak_parameter,transition_energy_peak_shift,absolute_transition_energy_peak_shift,gdis_peak_within_0p05_of_primary
window,sensitivity_w300_s75,shared_backbone,18858,0.008778636,0.34914847,0.9727992730959677,0.9386350501608025,0.015084405867788054,0.32565376,0.32334275,-0.0023110100000000022,0.0023110100000000022,0.054626600000000025,0.05231559000000002,0.0186478625,0.016173333999999998,-0.0024745285000000034,0.0024745285000000034,True
window,sensitivity_w300_s75,shared_backbone,18870,0.0072889432,0.35179528,0.9867065791742934,0.9793919262708203,0.011332669600261695,0.3340394599999999,0.33178185,-0.00225760999999991,0.00225760999999991,0.07520402999999992,0.07294642000000001,0.017458625,0.0162710835,-0.0011875415,0.0011875415,True
window,sensitivity_w300_s75,shared_backbone,18907,0.014147929,0.337738305,0.9090028900536076,0.9777744923918782,0.058766480029193234,0.3309404999999999,0.33362611,0.0026856100000000604,0.0026856100000000604,0.02662145999999993,0.02930706999999999,0.0457722565,0.0473238715,0.0015516150000000062,0.0015516150000000062,True
window,sensitivity_w300_s75,shared_backbone,18912,0.0080636965,0.3727237,0.9928875509843249,0.9754550952815244,0.00987115131313111,0.335774065,0.374589905,0.03881583999999999,0.03881583999999999,0.023147585000000026,0.061963425000000016,0.043407945,0.019526716,-0.023881229000000004,0.023881229000000004,True
window,sensitivity_w300_s75,shared_backbone,19093,0.012019524,0.346556335,0.9564048559410995,0.9642167714683435,0.011138101091519538,0.334479725,0.33697097,0.0024912449999999753,0.0024912449999999753,0.023660294999999998,0.026151539999999973,0.052113965,0.037758879999999995,-0.014355085000000004,0.014355085000000004,True
window,sensitivity_w300_s75,shared_backbone,19108,0.013453955,0.29461435,0.9888260017360857,0.9650684970959533,0.052142907819929106,0.094669163,0.0978702825,0.003201119500000002,0.003201119500000002,0.19897483700000002,0.1957737175,0.0260334975,0.0312404565,0.005206959000000001,0.005206959000000001,True
window,sensitivity_w300_s75,shared_backbone,19127,0.009876764,0.3644500699999999,0.9520584427207701,0.9280887054192867,0.016056764664232864,0.33235078,0.37352534000000004,0.04117456000000003,0.04117456000000003,0.024388940000000026,0.06556350000000005,0.036633253,0.008907017,-0.027726235999999998,0.027726235999999998,True
window,sensitivity_w300_s75,shared_backbone,19159,0.0118863929999999,0.401277645,0.8099237624435645,0.9562056352901647,0.017949693843129062,0.05158148,0.056813201,0.005231721000000002,0.005231721000000002,0.2831953,0.277963579,0.0464336405,0.0456203875,-0.0008132529999999999,0.0008132529999999999,True
window,sensitivity_w300_s75,shared_backbone,19190,0.0089863594999999,0.364080545,0.9185731923890857,0.9176706187298995,0.02041733411584667,0.350328935,0.335899465,-0.01442947,0.01442947,0.03762016499999998,0.023190694999999983,0.0199573914999999,0.04155762,0.021600228500000103,0.021600228500000103,True
window,sensitivity_w300_s75,shared_backbone,19193,0.009603269,0.35780535,0.9408886992242429,0.7905684250948014,0.0120269414631746,0.336639285,0.342665175,0.006025889999999978,0.006025889999999978,0.008486555000000007,0.014512444999999985,0.017528632,0.024265256,0.006736624,0.006736624,True
