config,scope,individual,window_size,step_size,n_cells,n_windows,n_covered_unique_cells,cell_coverage_fraction,parameter_min,parameter_max,strict_increment_fraction,tie_fraction,parameters_non_decreasing,parameters_strictly_increasing,all_expected_states_present,trajectory_shape,trajectory_values_finite
sensitivity_w500_s125,cm_extension,18855,500,125,4764,35,4750,0.9970612930310663,0.015474063,0.420748335,1.0,0.0,True,True,True,35x500x50,True
sensitivity_w500_s125,cm_extension,18858,500,125,12192,94,12125,0.994504593175853,0.0095748565,0.66732927,1.0,0.0,True,True,True,94x500x50,True
sensitivity_w500_s125,cm_extension,18870,500,125,11604,89,11500,0.9910375732506033,0.0080951605,0.35943919,1.0,0.0,True,True,True,89x500x50,True
sensitivity_w500_s125,cm_extension,18907,500,125,5799,43,5750,0.9915502672874633,0.01519234325,0.42500528000000004,1.0,0.0,True,True,True,43x500x50,True
sensitivity_w500_s125,cm_extension,18912,500,125,13123,101,13000,0.9906271431837232,0.008955918,0.801898315,1.0,0.0,True,True,True,101x500x50,True
sensitivity_w500_s125,cm_extension,19093,500,125,15467,120,15375,0.9940518523307688,0.013475829,0.8141687799999999,1.0,0.0,True,True,True,120x500x50,True
sensitivity_w500_s125,cm_extension,19108,500,125,3760,27,3750,0.9973404255319149,0.0146285165,0.32432611499999997,1.0,0.0,True,True,True,27x500x50,True
sensitivity_w500_s125,cm_extension,19193,500,125,6881,52,6875,0.9991280337160297,0.0108174745,0.46065448,1.0,0.0,True,True,True,52x500x50,True
sensitivity_w500_s125,cm_extension,19209,500,125,9782,75,9750,0.9967286853404211,0.0110863435,0.49666047,1.0,0.0,True,True,True,75x500x50,True
sensitivity_w500_s125,cf_extension,18489,500,125,6573,49,6500,0.9888939601399666,0.0103664355,0.391360535,1.0,0.0,True,True,True,49x500x50,True
sensitivity_w500_s125,cf_extension,18508,500,125,12482,96,12375,0.9914276558243871,0.009018836749999998,0.44745659,1.0,0.0,True,True,True,96x500x50,True
sensitivity_w500_s125,cf_extension,18511,500,125,12928,100,12875,0.9959003712871287,0.009131608749999999,0.42397834,1.0,0.0,True,True,True,100x500x50,True
sensitivity_w500_s125,cf_extension,18517,500,125,7259,55,7250,0.9987601598016256,0.011736649,0.349083435,1.0,0.0,True,True,True,55x500x50,True
sensitivity_w500_s125,cf_extension,18520,500,125,10552,81,10500,0.9950720242608037,0.014662975,0.437395035,1.0,0.0,True,True,True,81x500x50,True
sensitivity_w500_s125,cf_extension,18855,500,125,8690,66,8625,0.9925201380897584,0.015474063,0.44684980500000004,1.0,0.0,True,True,True,66x500x50,True
sensitivity_w500_s125,cf_extension,18907,500,125,8271,63,8250,0.9974610083424011,0.01519234325,0.430679515,1.0,0.0,True,True,True,63x500x50,True
sensitivity_w500_s125,cf_extension,18912,500,125,11100,85,11000,0.990990990990991,0.008955918,0.384067335,1.0,0.0,True,True,True,85x500x50,True
sensitivity_w500_s125,cf_extension,19093,500,125,16072,125,16000,0.9955201592832255,0.013475829,0.44555433,1.0,0.0,True,True,True,125x500x50,True
sensitivity_w500_s125,cf_extension,19108,500,125,3775,27,3750,0.9933774834437086,0.0146285165,0.325725825,1.0,0.0,True,True,True,27x500x50,True
sensitivity_w500_s125,cf_extension,19127,500,125,10127,78,10125,0.9998025081465389,0.0109060585,0.449465365,1.0,0.0,True,True,True,78x500x50,True
sensitivity_w500_s125,cf_extension,19159,500,125,12853,99,12750,0.9919863066988251,0.0128644025,0.45618124000000004,1.0,0.0,True,True,True,99x500x50,True
sensitivity_w500_s125,cf_extension,19190,500,125,16915,132,16875,0.997635234998522,0.00989419175,0.45270729,1.0,0.0,True,True,True,132x500x50,True
sensitivity_w500_s125,cf_extension,19193,500,125,8964,68,8875,0.9900713966979027,0.0108174745,0.44048954500000004,1.0,0.0,True,True,True,68x500x50,True
sensitivity_w500_s125,cf_extension,19209,500,125,9043,69,9000,0.9952449408382174,0.0110863435,0.367963315,1.0,0.0,True,True,True,69x500x50,True
