scope,individual,state,state_median_pseudotime,nearest_window_index,nearest_window_parameter,absolute_parameter_difference,nearest_window_median_day,nearest_window_dominant_state
cf_extension,18912,MES,0.0413723119999999,35,0.041798345,0.00042603300000010336,0.0,IPSC
cf_extension,18912,CMES,0.31262648,76,0.31276963,0.0001431500000000363,3.0,CMES
cf_extension,18912,PROG,0.3131859099999999,76,0.31276963,0.0004162799999998801,3.0,CMES
cf_extension,18912,CF,0.36847245,102,0.36759627500000003,0.000876174999999979,7.0,PROG
cf_extension,19093,IPSC,0.0369758225,27,0.036752345,0.00022347749999999944,1.0,MES
cf_extension,19093,MES,0.0534829535,55,0.0537951755,0.0003122220000000009,1.0,MES
cf_extension,19093,CMES,0.31081943,108,0.31024957500000006,0.0005698549999999525,5.0,PROG
cf_extension,19093,PROG,0.32352218,115,0.32361673,9.455000000002656e-05,5.0,PROG
cf_extension,19093,CF,0.4099755,143,0.410378365,0.00040286500000003,7.0,CF
cf_extension,19108,IPSC,0.0260334975,7,0.0260334975,0.0,0.0,IPSC
cf_extension,19108,MES,0.050665893,19,0.0502709165,0.000394976499999998,1.0,MES
cf_extension,19108,CMES,0.293644,31,0.29331456,0.00032944000000001417,3.0,CMES
cf_extension,19108,PROG,0.319511145,33,0.325725825,0.006214680000000028,5.0,CMES
cf_extension,19108,CF,0.37690464,33,0.325725825,0.05117881499999999,5.0,CMES
cf_extension,19127,IPSC,0.027986776,13,0.027971108,1.5667999999999932e-05,1.0,MES
cf_extension,19127,MES,0.0392021715,21,0.03954296,0.0003407885000000013,0.0,IPSC
cf_extension,19127,CMES,0.30796184,46,0.30804865000000003,8.681000000004824e-05,3.0,CMES
cf_extension,19127,PROG,0.33992822,58,0.33973503,0.00019319000000000974,5.0,PROG
cf_extension,19127,CF,0.40934077,79,0.40802077000000003,0.0013199999999999878,11.0,CF
cf_extension,19159,IPSC,0.038798816,20,0.038431189000000004,0.0003676269999999954,0.0,IPSC
cf_extension,19159,MES,0.027495997,12,0.0277529365,0.00025693949999999743,0.0,IPSC
cf_extension,19159,CMES,0.33477678,45,0.333622785,0.0011539950000000188,3.0,CMES
cf_extension,19159,PROG,0.379604,59,0.37886152,0.0007424799999999898,7.0,CF
cf_extension,19159,CF,0.43521515,92,0.43535278,0.0001376299999999997,11.0,CF
cf_extension,19190,IPSC,0.02559383,17,0.0254787445,0.00011508550000000062,0.0,IPSC
cf_extension,19190,MES,0.041906796,36,0.042281473,0.0003746769999999969,1.0,MES
cf_extension,19190,CMES,0.31270877,65,0.312090365,0.0006184050000000441,5.0,CMES
cf_extension,19190,PROG,0.3421823,82,0.34160851000000003,0.0005737899999999629,5.0,PROG
cf_extension,19190,CF,0.41572344,126,0.415320885,0.00040255500000002664,11.0,CF
cf_extension,19193,IPSC,0.0271987019999999,14,0.0270652275,0.0001334744999999006,0.0,IPSC
cf_extension,19193,MES,0.033076502,18,0.0326005385,0.0004759635000000026,0.0,IPSC
cf_extension,19193,CMES,0.32815273,48,0.328848525,0.000695794999999999,3.0,CMES
cf_extension,19193,PROG,0.333821485,52,0.33375234,6.914499999999268e-05,3.0,CMES
cf_extension,19193,CF,0.39365986,72,0.393553245,0.00010661499999997659,11.0,CF
cf_extension,19209,IPSC,0.027816156,12,0.028547556,0.0007314000000000001,0.0,IPSC
cf_extension,19209,MES,0.069370658,29,0.068148055,0.0012226030000000027,3.0,MES
cf_extension,19209,CMES,0.2835148,59,0.28203367,0.0014811299999999972,7.0,PROG
cf_extension,19209,PROG,0.31164765,68,0.3127235,0.0010758499999999893,7.0,PROG
cf_extension,19209,CF,0.3508313,82,0.34883655,0.0019947499999999896,11.0,PROG
