config,scope,individual,npz_path,window_metadata_path,n_windows,window_size,n_dimensions
sensitivity_w300_s75,cf_extension,18520,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18520.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18520_windows.csv,137,300,50
sensitivity_w300_s75,cf_extension,18855,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18855.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18855_windows.csv,112,300,50
sensitivity_w300_s75,cf_extension,18907,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18907.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18907_windows.csv,107,300,50
sensitivity_w300_s75,cf_extension,18912,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18912.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_18912_windows.csv,145,300,50
sensitivity_w300_s75,cf_extension,19093,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19093.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19093_windows.csv,211,300,50
sensitivity_w300_s75,cf_extension,19108,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19108.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19108_windows.csv,47,300,50
sensitivity_w300_s75,cf_extension,19127,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19127.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19127_windows.csv,132,300,50
sensitivity_w300_s75,cf_extension,19159,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19159.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19159_windows.csv,168,300,50
sensitivity_w300_s75,cf_extension,19190,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19190.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19190_windows.csv,222,300,50
sensitivity_w300_s75,cf_extension,19193,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19193.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19193_windows.csv,116,300,50
sensitivity_w300_s75,cf_extension,19209,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19209.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cf_extension/cf_extension_individual_19209_windows.csv,117,300,50
primary_w400_s100,shared_backbone,18489,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18489.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18489_windows.csv,47,400,50
primary_w400_s100,shared_backbone,18499,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18499.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18499_windows.csv,117,400,50
primary_w400_s100,shared_backbone,18505,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18505.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18505_windows.csv,58,400,50
primary_w400_s100,shared_backbone,18508,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18508.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18508_windows.csv,75,400,50
primary_w400_s100,shared_backbone,18511,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18511.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18511_windows.csv,104,400,50
