branch,lineage,differentiation,transition_weight,parameter,gdis,potential
0,SC-EC,1,1.0,0.38544397116644824,0.7089752739659616,1.2207235305156199
0,SC-EC,1,1.0,0.40956749672346,0.7422636456529161,1.3827539442713297
0,SC-EC,1,1.0,0.43332241153342066,0.7725386426187133,1.538783481893331
0,SC-EC,1,1.0,0.4536369593709043,0.7939535739488803,1.5923688456843224
0,SC-EC,1,1.0,0.47620412844036697,0.804373158076061,1.618620960595449
0,SC-EC,1,1.0,0.49684633027522934,0.8055679798734965,1.630484485557359
0,SC-EC,1,1.0,0.5262925969447709,0.803358547888174,1.6273756368221013
0,SC-EC,1,1.0,0.5550822561692127,0.8022020887053354,1.6160383514176913
0,SC-EC,1,1.0,0.5893801410105758,0.8017406320922053,1.6107832927137817
0,SC-EC,1,1.0,0.6174720916568743,0.8024937918580356,1.6177347188881464
0,SC-EC,1,1.0,0.6449764982373678,0.804601621508467,1.6321054094470784
0,SC-EC,1,1.0,0.6722238542890717,0.8073120166491108,1.649024873404888
0,SC-EC,1,1.0,0.7029230317273796,0.809568097260956,1.6622734065892517
0,SC-EC,1,1.0,0.734283196239718,0.8105913263458412,1.6678926837963817
0,SC-EC,1,1.0,0.7648354876615746,0.8103178174812244,1.6643860301303122
0,SC-EC,1,1.0,0.7934048178613395,0.8092073942461679,1.6582164377833486
0,SC-EC,1,1.0,0.8227820211515864,0.8081806102154292,1.651273993129435
0,SC-EC,1,1.0,0.8550969447708578,0.8084467792570117,1.6516257671253665
0,SC-EC,1,1.0,0.8909371327849589,0.8109411881101157,1.6647702490461844
0,SC-EC,1,1.0,0.921783196239718,0.8165991235139415,1.6968925612256196
0,SC-EC,2,0.0,0.0573804062909567,0.4174727058955468,0.5797717238636986
0,SC-EC,2,0.0,0.08191349934469194,0.2367941543705649,0.23854194718028943
0,SC-EC,2,0.0,0.09592070773263431,0.23176706445900846,0.228603513383048
0,SC-EC,2,0.0,0.11066513761467886,0.3467746344243877,0.4214077872399962
0,SC-EC,2,0.0,0.12446756225425945,0.5262000625302137,0.8171181733986214
0,SC-EC,2,0.0,0.14052260812581913,0.6866249804535167,1.4401598808063443
0,SC-EC,2,0.0,0.15624999999999994,0.7946938808003968,1.8532589699061797
0,SC-EC,2,0.0,0.17263269986893837,0.8423143608534599,1.695175680323526
0,SC-EC,2,0.0,0.18500163826998683,0.8430233206397071,1.705319453101893
0,SC-EC,2,0.0,0.1997870249017038,0.8246783879369284,1.7122571845405974
0,SC-EC,2,0.0,0.2151867627785059,0.8145017104291542,1.6983640845483718
0,SC-EC,2,0.0,0.23136467889908255,0.8146832988010293,1.6773054573816806
0,SC-EC,2,0.0,0.24582241153342071,0.809909343698676,1.6526243638193683
0,SC-EC,2,0.0,0.26077162516382696,0.7996765498166384,1.6118702248071621
0,SC-EC,2,0.0,0.27436926605504586,0.7834356570920236,1.560415340631874
0,SC-EC,2,0.0,0.28870412844036697,0.7616822203031147,1.4571578535056642
0,SC-EC,2,0.0,0.3018922018348623,0.7376567209833303,1.3298929774273627
0,SC-EC,2,0.0,0.31671854521625165,0.7173352108109976,1.2479125028402747
0,SC-EC,2,0.0,0.32949705111402355,0.7056517342826342,1.2046310272605352
0,SC-EC,2,0.0,0.3434223460026212,0.7076612380196761,1.2122562488931177
0,SC-EC,2,0.0,0.35652850589777196,0.7208183101981738,1.2687483137466484
0,SC-EC,2,0.0,0.37033093053735255,0.7366740873635294,1.3415737802924514
0,SC-EC,2,0.0,0.3843790956749672,0.75023724175273,1.4240783879500691
0,SC-EC,2,0.0,0.39777195281782435,0.7572025262773843,1.440621154579006
0,SC-EC,2,0.0,0.40960845347313235,0.7573877761311736,1.406850516238361
0,SC-EC,2,0.0,0.4223869593709043,0.7544014401684649,1.3930931861699614
0,SC-EC,2,0.0,0.4347968545216251,0.7517909768808642,1.3815382963524194
0,SC-EC,2,0.0,0.4480258846657929,0.7544340268311709,1.3970800706412312
0,SC-EC,2,0.0,0.462606487549148,0.762003013976766,1.4343273377486507
0,SC-EC,2,0.0,0.4745658584534731,0.7714410351881025,1.4754288857212168
0,SC-EC,2,0.0,0.48840923984272605,0.7814848038454663,1.5286852045857813
0,SC-EC,2,0.0,0.5030111633372503,0.789586042801379,1.5648218541103256
0,SC-EC,2,0.0,0.5323883666274971,0.7949331139537354,1.586320138269312
0,SC-EC,2,0.0,0.560590481786134,0.7976581238124629,1.600133687540652
0,SC-EC,2,0.0,0.5855611045828437,0.7980235863137816,1.5986192331273859
0,SC-EC,2,0.0,0.6168111045828437,0.7975298676890081,1.5957819300267733
0,SC-EC,2,0.0,0.6477673325499412,0.7968032525916307,1.5914292870728093
0,SC-EC,2,0.0,0.6794212690951822,0.7963333868711551,1.5890301430029552
0,SC-EC,2,0.0,0.7074764982373678,0.7964481236194543,1.5911157563620515
0,SC-EC,2,0.0,0.7346504112808461,0.7968161664526561,1.5941430781946628
0,SC-EC,2,0.0,0.7625587544065805,0.7972660047889395,1.5982344859545379
0,SC-EC,2,0.0,0.7926703877790835,0.7976359148220213,1.599378472200546
0,SC-EC,2,0.0,0.8224148061104583,0.7980008408880717,1.6005316867117716
0,SC-EC,2,0.0,0.8493683901292597,0.7987852125430354,1.6033521668785127
0,SC-EC,2,0.0,0.8758813160987073,0.8006461197612891,1.6119306874008796
0,SC-EC,2,0.0,0.9012925969447708,0.8040608404258472,1.6292685284516937
0,SC-EC,2,0.0,0.9281727379553467,0.8095066524197235,1.6587667229981975
0,SC-EC,2,0.18,0.0573804062909567,0.4107982636403553,0.5797717238636986
0,SC-EC,2,0.18,0.08191349934469194,0.2697611051506386,0.2642325163908774
0,SC-EC,2,0.18,0.09592070773263431,0.2849869110199872,0.2952015041873771
0,SC-EC,2,0.18,0.11066513761467886,0.40533290103457553,0.5313177766742384
0,SC-EC,2,0.18,0.12446756225425945,0.5796562949805768,0.9648908997050265
0,SC-EC,2,0.18,0.14052260812581913,0.7322312967923601,1.605289750455785
