library.barcode,Assigned_cluster,Pseudotime_value,Pseudotime_branch,Differentiation,CellDay
stg5diff1_S5d4_b1.bcHMCN,neurog3_late,0.3890072083879423,0,1,4
stg5diff1_S5d4_b1.bcAFXP,sc_beta,0.650920245398773,1,1,4
stg5diff1_S5d4_b1.bcGHTA,neurog3_mid,0.3150393184796854,0,1,4
stg5diff1_S5d4_b1.bcEYQP,neurog3_late,0.4166124308493329,1,1,4
stg5diff1_S5d4_b1.bcBGCE,sc_beta,0.5633946830265849,1,1,4
stg5diff1_S5d4_b1.bcCWDA,neurog3_mid,0.2852261633582818,1,1,4
stg5diff1_S5d4_b1.bcALAI,sc_ec,0.5060223266745005,0,1,4
stg5diff1_S5d4_b1.bcGDNT,neurog3_mid,0.2892365661861075,0,1,4
stg5diff1_S5d4_b1.bcFWQT,neurog3_mid,0.371805373525557,0,1,4
stg5diff1_S5d4_b1.bcDZHI,neurog3_late,0.4269443540514155,1,1,4
stg5diff1_S5d4_b1.bcBAZN,neurog3_late,0.3695117955439056,0,1,4
stg5diff1_S5d4_b1.bcEYBN,sc_beta,0.6077709611451942,1,1,4
stg5diff1_S5d4_b1.bcGPDP,neurog3_mid,0.2849007484542792,1,1,4
stg5diff1_S5d4_b1.bcESOX,neurog3_late,0.3719692005242463,0,1,4
stg5diff1_S5d4_b1.bcGIVO,neurog3_mid,0.2514643670680117,1,1,4
stg5diff1_S5d4_b1.bcCXVO,sc_beta,0.4723397331597787,1,1,4
stg5diff1_S5d4_b1.bcHERH,neurog3_late,0.7067484662576687,1,1,4
stg5diff1_S5d4_b1.bcGPVS,neurog3_late,0.423410878112713,0,1,4
stg5diff1_S5d4_b1.bcAYIS,neurog3_mid,0.2611454604620891,1,1,4
stg5diff1_S5d4_b1.bcAJZP,neurog3_mid,0.3026358607224211,1,1,4
stg5diff1_S5d4_b1.bcEAVJ,prog_nkx61,0.1142693315858453,0,1,4
stg5diff1_S5d4_b1.bcCYPG,neurog3_late,0.3556684141546526,0,1,4
stg5diff1_S5d4_b1.bcDENE,sc_beta,0.4740481614057923,1,1,4
stg5diff1_S5d4_b1.bcFGON,neurog3_late,0.4837292547998698,1,1,4
stg5diff1_S5d4_b1.bcFMCE,neurog3_mid,0.3489261308167914,1,1,4
stg5diff1_S5d4_b1.bcEVZH,prog_nkx61,0.1384338138925294,0,1,4
stg5diff1_S5d4_b1.bcDYDT,sc_beta,0.4925154572079401,1,1,4
stg5diff1_S5d4_b1.bcEAKT,sc_ec,0.5149823736780259,0,1,4
stg5diff1_S5d4_b1.bcDCFY,sc_ec,0.6361633372502937,0,1,4
stg5diff1_S5d4_b1.bcEEKH,neurog3_late,0.3896029938171168,1,1,4
stg5diff1_S5d4_b1.bcHBBX,sc_ec,0.7541128084606346,0,1,4
stg5diff1_S5d4_b1.bcELCL,prog_nkx61,0.1306540839570452,1,1,4
stg5diff1_S5d4_b1.bcASXM,sc_beta,0.5329243353783231,1,1,4
stg5diff1_S5d4_b1.bcHSRM,neurog3_mid,0.3209370904325033,0,1,4
stg5diff1_S5d4_b1.bcCYHU,neurog3_mid,0.2347868532378783,1,1,4
stg5diff1_S5d4_b1.bcFMCK,neurog3_mid,0.2427096985583224,0,1,4
stg5diff1_S5d4_b1.bcCKGK,prog_nkx61,0.1341522941750732,1,1,4
stg5diff1_S5d4_b1.bcFPJQ,sc_ec,0.7263513513513513,0,1,4
stg5diff1_S5d4_b1.bcGYLO,neurog3_mid,0.3016055045871559,0,1,4
stg5diff1_S5d4_b1.bcAUVZ,sc_ec,0.5756462984723855,0,1,4
stg5diff1_S5d4_b1.bcHISC,prog_nkx61,0.1251638269986894,0,1,4
stg5diff1_S5d4_b1.bcGPXH,neurog3_late,0.4302798568174422,1,1,4
stg5diff1_S5d4_b1.bcHMWF,neurog3_mid,0.264089121887287,0,1,4
stg5diff1_S5d4_b1.bcBETY,sc_ec,0.8664806110458285,0,1,4
stg5diff1_S5d4_b1.bcAJBR,sc_ec,0.8055229142185664,0,1,4
