var_name_unique,gene_index,gene_name_original,highly_variable,highly_variable_nbatches,means,dispersions,dispersions_norm
RHOBTB3,11137,RHOBTB3,True,18,1.2026205708320576,2.4789160761125175,1.9897263
AC104123.1,11144,AC104123.1,True,5,0.006056778830797441,2.02052656221595,0.6843414
ERAP2,11154,ERAP2,True,4,0.00286615886782927,1.5775713144156716,-0.02054636
LIX1,11160,LIX1,True,19,0.887414927673381,2.595074999909905,3.487408
DDX18P4,11179,DDX18P4,True,4,0.005180201088879202,1.8329411614638083,0.4098822
EEF1A1P20,11188,EEF1A1P20,True,4,0.002262613641302959,1.652350684028555,0.19339396
MTND6P22,11190,MTND6P22,True,4,0.00421886548551233,1.8035110785693012,0.334688
MTCO3P22,11195,MTCO3P22,True,3,0.06717694741410896,1.9868035045116,0.6394212
AC099487.1,11207,AC099487.1,True,4,0.0028717821865446914,1.5670619055360735,0.19758864
PAM,11209,PAM,True,3,0.3446897152113881,2.0636533715244374,0.84684
KRT18P42,11238,KRT18P42,True,4,0.0027240310278584443,1.6821720290581466,0.15260372
STARD4-AS1,11252,STARD4-AS1,True,4,0.7162280287463002,2.0910811104778744,0.72734886
NREP,11254,NREP,True,4,1.1986956866634686,2.1795207044707356,0.72899246
ZNF474,11341,ZNF474,True,4,0.0007602449870501706,0.9833167817451415,-0.3224061
RN7SL689P,11352,RN7SL689P,True,4,0.007383405321023271,1.9799960364960563,0.63574076
PPIC,11353,PPIC,True,6,0.44420207652886406,2.0863215424324566,0.9545712
ZNF608,11369,ZNF608,True,6,0.7002840533518929,2.131384843412858,0.9972091
MARCH3,11389,MARCH3,True,4,0.20456695319764875,2.0853020883542244,0.9282792
FBN2,11407,FBN2,True,10,0.5288999026877909,2.1432938199758893,1.2469058
MTND6P4,11506,MTND6P4,True,4,0.029889096139249016,1.7881693925103341,0.28164223
CXCL14,11520,CXCL14,True,19,0.9053121734997026,2.8443412694874475,4.383408
FBXL21P,11526,FBXL21P,True,4,0.005259542452049887,1.9124050912759425,0.4987272
TGFBI,11527,TGFBI,True,8,0.1777632545334395,2.2526369185290442,1.2533884
VTRNA2-1,11528,VTRNA2-1,True,4,0.004318991894225041,1.615868215829056,0.27558002
TRPC7,11532,TRPC7,True,4,0.0007569645695025613,1.287916221621519,0.28671452
AC113382.1,11550,AC113382.1,True,4,0.0015967282108203505,1.4653335427741783,-0.24061324
WNT8A,11552,WNT8A,True,3,0.05463141943711469,2.09015322686632,0.8083364
EGR1,11566,EGR1,True,9,0.11247028910747252,2.2642361803186892,1.0925211
AC113340.1,11572,AC113340.1,True,4,0.001120995098787073,1.3818898890329308,-0.21388757
AC011405.1,11576,AC011405.1,True,4,0.0037313163066385454,1.5923525416089253,-0.04797947
AC011379.1,11610,AC011379.1,True,4,0.0009737313499433703,1.224736990179032,-0.23024003
HBEGF,11612,HBEGF,True,9,0.11496425992605182,2.3259134366669647,1.2027556
CD14,11625,CD14,True,6,0.006828743080794073,1.9718955643775136,0.7485799
VTRNA1-3,11637,VTRNA1-3,True,3,0.15476493043076867,2.097659917633196,0.8222596
PCDHA3,11641,PCDHA3,True,5,0.004682453610443882,1.6504482333686803,0.08390479
PCDHAC2,11656,PCDHAC2,True,3,0.012863926427220278,1.974039002404797,0.6239578
PCDHGB5,11701,PCDHGB5,True,4,0.0008105843922742275,1.177812417232271,-0.2811224
IL17B,11808,IL17B,True,5,0.007090763348543433,2.0344673918282625,0.7214815
AC131025.2,11811,AC131025.2,True,5,0.0011668338988952318,1.4655314812470912,0.15509301
SPARC,11858,SPARC,True,14,1.6573448955077512,2.637931163428847,1.714384
LINC01933,11868,LINC01933,True,7,0.016153183575799788,2.103287713462228,0.8218536
HAND1,11881,HAND1,True,16,0.7860416341378474,2.4196406365606857,2.1799388
AC026688.2,11882,AC026688.2,True,7,0.11037444324397427,2.2080451455169094,1.1325939
PTTG1,11949,PTTG1,True,5,1.3450095620941005,2.228008197821223,0.9512007
SLIT3,11990,SLIT3,True,3,0.20675964242080735,2.1226292429601257,0.9183206
RPSAP71,12013,RPSAP71,True,4,0.0007729237361036974,1.2460607191844577,-0.25554675
RPL10P8,12014,RPL10P8,True,3,0.01347058454861405,2.0403494068723975,0.7065051
AC011407.1,12023,AC011407.1,True,5,0.001519061820734497,1.3637186240999035,0.13240041
NKX2-5,12043,NKX2-5,True,10,0.15995024277775569,2.2764074545155357,1.1994503
SUMO2P6,12057,SUMO2P6,True,4,0.00165274420473484,1.602158266239954,0.11283383
PDLIM7,12117,PDLIM7,True,7,0.4880931561425559,2.08183377446677,0.91363114
AC139795.3,12122,AC139795.3,True,5,0.0018733531484173517,1.4592882633854054,-0.09078647
PIGFP1,12149,PIGFP1,True,4,0.005181227091706148,1.8939739321932085,0.4896765
AC104117.2,12156,AC104117.2,True,3,0.02270643174318458,2.0470296570480886,0.7267162
BTNL9,12205,BTNL9,True,4,0.01185918569530322,1.8849211170392528,0.48371196
FOXF2,12239,FOXF2,True,5,0.010032523666020114,1.9396012951933848,0.54870623
SERPINB9,12256,SERPINB9,True,6,0.5316400493124132,2.1067670238624068,1.0914263
HTATSF1P2,12261,HTATSF1P2,True,4,0.0025000916423551073,1.5874668467335615,-0.0136004165
TUBB2A,12268,TUBB2A,True,3,0.9472067253190012,2.133380029378345,0.803553
TUBB2B,12271,TUBB2B,True,8,1.412663214326272,2.3709115633469233,1.2228757
AL391422.1,12278,AL391422.1,True,4,0.001961826275515838,1.6863537550922274,0.15845191
AL138831.1,12286,AL138831.1,True,4,0.002635533214647459,1.7706824770016867,0.2657782
LY86-AS1,12316,LY86-AS1,True,4,0.0007841704039326876,1.4843368988096344,0.21106647
CAGE1,12328,CAGE1,True,5,0.003189192496069725,1.7654728331240592,0.41778666
DSP,12336,DSP,True,6,1.586693713058936,2.350623138531169,1.0865965
AL355499.2,12345,AL355499.2,True,4,0.0007262113032328203,1.0206494363045415,0.17662191
MRPL48P1,12357,MRPL48P1,True,4,0.0057210196742540805,1.931012043369253,0.5615104
EDN1,12387,EDN1,True,15,0.15650860139075284,2.5863815856389145,2.0467088
AL023583.1,12402,AL023583.1,True,4,0.004641303764835534,1.7306068022956647,0.20000972
RNF182,12403,RNF182,True,3,0.016428043800800995,1.9936106056754224,0.6406366
AL021407.2,12422,AL021407.2,True,4,0.0010383582101937874,1.315798532168489,-0.20662877
AL009031.1,12427,AL009031.1,True,4,0.05347929261178566,2.0595289129553236,0.7522965
CAP2,12436,CAP2,True,8,0.5332715194434797,2.1234216492594653,1.1326164
KRT18P38,12455,KRT18P38,True,4,0.01700512443347953,1.8947137139270773,0.48803318
SOX4,12470,SOX4,True,3,1.8275739232958133,2.341499744255354,0.72158283
PRL,12477,PRL,True,4,0.00268060541269706,1.3284796665261362,0.41807455
KIAA0319,12491,KIAA0319,True,5,0.007839438833819217,1.977985316722833,0.62551403
AL133268.1,12506,AL133268.1,True,4,0.003591285641249753,1.6429444976202507,0.0768125
HIST1H1A,12521,HIST1H1A,True,7,0.23166278278002048,2.1813951071089406,1.1094872
HIST1H1C,12530,HIST1H1C,True,8,0.5750393140369182,2.084340476634685,0.9665059
HIST1H4C,12532,HIST1H4C,True,19,2.9894267312243974,3.373878585652291,2.5104275
HIST1H1E,12536,HIST1H1E,True,18,1.6651703364890464,2.716418481410338,2.3207033
HIST1H1D,12551,HIST1H1D,True,19,2.213148865878266,3.1545011144865756,2.6179044
BTN3A2,12560,BTN3A2,True,3,0.10966306019961933,2.4998882847377395,2.6446776
AL513548.4,12573,AL513548.4,True,5,0.0008988297303178537,1.3415803505732768,0.23813792
ZNF603P,12633,ZNF603P,True,6,0.0034625217004757764,1.87958555757084,0.586522
GPX5,12652,GPX5,True,5,0.002745046630474478,1.7867462272603334,0.4591843
IFITM4P,12689,IFITM4P,True,3,0.013475268022569577,1.997733392297089,0.6414535
RPL7P4,12743,RPL7P4,True,3,0.03792732169087803,1.991906049572411,0.6382656
IER3,12751,IER3,True,3,0.5891757920460976,2.067535592923035,0.866551
AL662844.4,12769,AL662844.4,True,4,0.0050684901544030625,1.9217951876295611,0.54067934
LTB,12795,LTB,True,5,0.0068272939805539045,1.919749095556563,0.5327368
TNXB,12845,TNXB,True,4,0.001333424594685093,1.5462566094848684,-0.12574245
COL11A2,12894,COL11A2,True,5,0.012969158186116292,2.071275136119693,0.7590882
MYL8P,12911,MYL8P,True,4,0.0033602962951000937,1.7506250579051479,0.25291142
AL031577.1,12945,AL031577.1,True,5,0.008802765432751403,1.9568724963813262,0.6040513
CPNE5,13003,CPNE5,True,3,0.02884011416042561,2.135673814080396,0.87981695
AL589655.1,13028,AL589655.1,True,4,0.0011994312017278446,1.6137889815762922,0.025029792
FOXP4-AS1,13062,FOXP4-AS1,True,4,0.018343740535842396,1.987117580730425,0.64128286
RN7SL403P,13109,RN7SL403P,True,4,0.0011384238546472084,1.4446657574006134,-0.09967832
POLH-AS1,13139,POLH-AS1,True,4,0.004849684270798275,1.7854862915831349,0.3202114
CLIC5,13174,CLIC5,True,5,0.029871023516312538,2.077548119266594,0.7910941
TDRD6,13183,TDRD6,True,4,0.0037069138951474657,1.7435749251990083,0.21489666
ADGRF2,13192,ADGRF2,True,5,0.0014250597920335024,1.5953095080358153,0.38098177
EEF1A1P42,13200,EEF1A1P42,True,4,0.008898428256792558,1.9888654299082276,0.6356622
GSTA1,13229,GSTA1,True,6,0.006088020185179309,1.932124434706274,0.5200612
7SK.4,13233,7SK.4,True,6,0.003139163154647704,1.7224752370427154,0.20924054
AL512378.1,13237,AL512378.1,True,5,0.0015011963552482236,1.508228441774761,-0.22828774
RPL31P33,13243,RPL31P33,True,4,0.001033786511672901,1.0856341382482315,-0.5919701
KRASP1,13258,KRASP1,True,6,0.004351851651154054,1.8201693144975823,0.36801672
BMP5,13263,BMP5,True,13,0.35619484035574717,2.277367481258724,1.8553579
COL21A1,13265,COL21A1,True,6,0.1657855836080211,2.253645200136341,1.2866492
FKBP1C,13301,FKBP1C,True,3,0.017202580530526916,1.9942163158499282,0.658338
COL19A1,13329,COL19A1,True,5,0.0025939734385893062,1.7345776875864767,0.30610397
AL589935.1,13342,AL589935.1,True,4,0.006028212783758307,1.7026829425202759,0.17167819
OGFRL1,13344,OGFRL1,True,3,0.1659419863533452,2.024898166434118,0.8857092
