gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
EFNA5,True,0.1154528857576049,1.9717138759995287,1.0636891,2,True
EGR1,True,0.5154941472906368,2.0364777503600893,1.6560512,2,True
EGR2,True,0.03758834804724787,1.9589422119205713,1.0156984,2,True
EGR4,True,0.01578454362972305,1.971083354499102,1.0521594,2,True
EHBP1,True,0.46976741842684167,1.9041088620153048,0.9148108,2,True
ELAVL2,True,0.49545248419723514,1.9267568642491084,1.0726523,2,True
ELAVL3,True,0.7242295243386438,2.0904449708018875,1.8311466,2,True
ELMOD1,True,0.06766178475205716,2.0119504491728373,1.1983248,2,True
ELP4,True,0.39616113348436555,1.9173580599841045,1.0042652,2,True
EMB,True,0.47927727619428706,1.9671990470228993,1.3496114,2,True
EMP2,True,0.3633177103658402,2.0856614075414672,2.1777973,2,True
EMX1,True,0.15328702487862544,2.187653778429304,1.8077931,2,True
ENC1,True,1.167233549424598,2.7796696627312816,3.9389272,2,True
ENOX1,True,0.14872345725684055,1.9455292835688338,0.9679927,2,True
ENPP2,True,0.7891412506636633,2.136183625009699,2.130662,2,True
EPB41L3,True,0.518672973427114,2.033415570197086,1.8154747,2,True
ERICH3,True,0.3005943489363192,1.9164409078092373,0.9985096,2,True
ERLIN1,True,0.29936261505689105,1.970233011170853,1.2466735,2,True
ERMARD,True,0.10034335759583798,2.044735952937696,1.294753,2,True
ERMN,True,0.021157252506879505,2.0299162733488654,1.2549536,2,True
ERN1,True,0.38179904969498246,2.016728174475129,1.7075909,2,True
ERO1B,True,1.281609180465989,2.479265229533434,2.5625222,2,True
ESPL1,True,0.04519030769125261,1.9808723470882974,1.0954123,2,True
ESRRG,True,0.19058714039923197,2.04398294531817,1.3133428,2,True
ETS1,True,0.741287481080668,2.2878835047902166,3.1175175,2,True
ETS2,True,0.6211248527243869,2.019991362783367,1.36841,2,True
EYA2,True,0.10496315995462319,1.9859019852669006,1.1119057,2,True
F3,True,0.42610071484400003,1.9677759453314998,1.3647454,2,True
FABP3,True,0.24718211800732068,2.147457913946325,1.6629772,2,True
FABP7,True,1.5393530773928221,3.7654310641787054,6.0146003,2,True
FAH,True,0.0691720213805245,2.0967686835468204,1.4944252,2,True
FAM105A,True,1.3876817396621184,2.1421243136456223,0.8868138,2,True
FAM114A2,True,0.2592879295460283,1.9502225311294161,0.9876053,2,True
FAM117B,True,0.4783073130740244,1.940409741058583,1.1718949,2,True
FAM120A,True,0.7305910936847482,1.9667636011586773,1.0254059,2,True
FAM13A,True,0.3898741159465228,1.927549282978236,1.0783769,2,True
FAM175B,True,0.32984654699439936,2.003993324270963,1.6206498,2,True
FAM181B,True,0.2848773784858996,2.0158642387893435,1.3509573,2,True
FAM49A,True,0.053673435703648645,2.0449999929159888,1.3039458,2,True
FAM64A,True,0.3159813209740121,2.2982444483303337,3.6494777,2,True
FAM84A,True,1.0930904082085062,2.4117653111171578,2.470159,2,True
FAM84B,True,0.6206966746226716,2.0611492828894633,1.6443697,2,True
FAM86B2,True,0.002429009971778897,2.1528999616139783,1.6730484,2,True
FAM91A1,True,0.48512394823436333,1.9498752285055723,1.2366337,2,True
FANCL,True,0.2006470932582984,2.0152354266423798,1.2082486,2,True
FAT1,True,0.47228233114599405,1.9698554120986689,1.3648626,2,True
FATE1,True,0.10001957371697495,1.9460328021823643,0.9717507,2,True
FBLN1,True,0.6427536920491301,2.113059972867254,1.9710035,2,True
FBLN5,True,0.04640819640767105,2.0289128029027297,1.2653683,2,True
FBXL3,True,0.35066338689578025,1.921419679607966,1.0352954,2,True
FBXO8,True,0.5380118206064326,2.0714843905576417,1.8709952,2,True
FEV,True,2.567410790726007,3.023925018247016,1.8578265,2,True
FGA,True,0.006342252835372231,2.011758921870829,1.2035589,2,True
FGB,True,0.059027472072205045,2.3927558362584014,2.4927642,2,True
FGF10,True,0.009451788989029309,2.359297541932767,2.3424213,2,True
FGF13,True,0.0633560009301234,2.075393743781548,1.423484,2,True
FGF14,True,1.1245080306548956,2.1501289282400045,1.2890986,2,True
FGF18,True,0.25015247805891705,2.1289577045268606,1.5994556,2,True
