PC,rank,gene,loading,absolute_loading
5,13,ERO1B,-0.11339835822582245,0.11339835822582245
5,14,DLL1,0.10936558991670609,0.10936558991670609
5,15,CDKN1C,0.10848107188940048,0.10848107188940048
5,16,STC1,0.10789286345243454,0.10789286345243454
5,17,CRYBA2,0.10775842517614365,0.10775842517614365
5,18,BNIP3,0.1057949960231781,0.1057949960231781
5,19,TMEM176A,0.09928380697965622,0.09928380697965622
5,20,TTR,0.09824465960264206,0.09824465960264206
6,1,IGF2,0.29974231123924255,0.29974231123924255
6,2,DLK1,0.26593488454818726,0.26593488454818726
6,3,SPINK1,0.22048218548297882,0.22048218548297882
6,4,MEST,0.19675973057746887,0.19675973057746887
6,5,XBP1,0.17623350024223328,0.17623350024223328
6,6,ALDH1A1,0.17224128544330597,0.17224128544330597
6,7,CDKN1C,0.14848197996616364,0.14848197996616364
6,8,UCHL1,0.11737246066331863,0.11737246066331863
6,9,FEV,0.116933174431324,0.116933174431324
6,10,RGS4,-0.11156569421291351,0.11156569421291351
6,11,KRT19,0.11051789671182632,0.11051789671182632
6,12,BTG1,0.10941926389932632,0.10941926389932632
6,13,ID1,-0.10790524631738663,0.10790524631738663
6,14,DLL1,0.10645771771669388,0.10645771771669388
6,15,ID3,-0.10632368177175522,0.10632368177175522
6,16,PRKAR1A,0.10381720960140228,0.10381720960140228
6,17,VCAN,-0.09801168739795685,0.09801168739795685
6,18,CRYBA2,0.09759725630283356,0.09759725630283356
6,19,INSM1,0.09526970237493515,0.09526970237493515
6,20,S100A11,-0.0918261855840683,0.0918261855840683
7,1,IGFBP5,0.22903071343898773,0.22903071343898773
7,2,IGF2,-0.2224472463130951,0.2224472463130951
7,3,CRISPLD1,-0.16753844916820526,0.16753844916820526
7,4,SCG2,-0.15459862351417542,0.15459862351417542
7,5,SCG5,-0.15149663388729095,0.15149663388729095
7,6,LDLRAP1,-0.14678288996219635,0.14678288996219635
7,7,MIAT,0.1454935222864151,0.1454935222864151
7,8,PAX4,-0.14517958462238312,0.14517958462238312
7,9,DLK1,0.13926522433757782,0.13926522433757782
7,10,CALB2,-0.13184183835983276,0.13184183835983276
7,11,HES6,0.12688446044921875,0.12688446044921875
7,12,SOX4,0.12615849077701569,0.12615849077701569
7,13,RGS16,-0.12269650399684906,0.12269650399684906
7,14,NREP,0.11551407724618912,0.11551407724618912
7,15,DLL1,0.11508649587631226,0.11508649587631226
7,16,FOXJ1,-0.1141035258769989,0.1141035258769989
7,17,RAB3B,0.11035981774330139,0.11035981774330139
7,18,PPP1R1A,-0.10911665111780167,0.10911665111780167
7,19,TMSB4X,0.10618243366479874,0.10618243366479874
7,20,PLXNA2,0.10532111674547195,0.10532111674547195
8,1,CDKN1C,0.2464134246110916,0.2464134246110916
8,2,CALB2,0.17531068623065948,0.17531068623065948
8,3,TUBA1B,0.1727626770734787,0.1727626770734787
8,4,KRT19,0.1638791412115097,0.1638791412115097
8,5,ATP1A1,-0.16369591653347015,0.16369591653347015
8,6,STMN2,0.15654213726520538,0.15654213726520538
8,7,TMEM176A,-0.13733109831809998,0.13733109831809998
8,8,NREP,0.13546839356422424,0.13546839356422424
8,9,LDHA,-0.13412348926067352,0.13412348926067352
8,10,MIAT,-0.13408848643302917,0.13408848643302917
8,11,BNIP3,-0.12958869338035583,0.12958869338035583
8,12,FOXJ1,-0.126058891415596,0.126058891415596
8,13,PPP1R1A,0.12495198100805283,0.12495198100805283
8,14,TMEM176B,-0.12156788259744644,0.12156788259744644
8,15,CHGA,-0.12131056934595108,0.12131056934595108
8,16,C1QL1,0.12110252678394318,0.12110252678394318
8,17,BTG1,-0.11556318402290344,0.11556318402290344
8,18,TMX4,-0.11447915434837341,0.11447915434837341
8,19,CRISPLD1,-0.10953690111637115,0.10953690111637115
8,20,IGF2,-0.10687843710184097,0.10687843710184097
9,1,IGF2,0.2388055920600891,0.2388055920600891
9,2,IGFBP5,0.1943317949771881,0.1943317949771881
9,3,GCG,0.19385743141174316,0.19385743141174316
9,4,INS,0.1925719976425171,0.1925719976425171
9,5,KRT19,0.18763642013072968,0.18763642013072968
9,6,TMSB4X,0.17430420219898224,0.17430420219898224
9,7,DLK1,-0.1678118109703064,0.1678118109703064
9,8,SCG2,-0.1663045883178711,0.1663045883178711
9,9,PRKAR1A,-0.15353359282016754,0.15353359282016754
9,10,TMEM176A,0.14771907031536102,0.14771907031536102
9,11,DNAJC12,-0.1364489644765854,0.1364489644765854
